Isolate,assembler,chrom_size_before_medaka,chrom_size_after_medaka,total_plasmids,total_circular_plasmids,outbreak_plasmid_length_before_medaka,outbreak_plasmid_length_after_medaka,,,,,,
o_1_q12,autocycler-wo-necat,4662767,4662766,2,2,71966,71966,,,,,,
o_1_q12,autocycler-wo-metamdbg,4662763,4662762,2,2,71966,71966,,,,,,
o_1_q12,unicycler-lr,4662682,4662764,2,2,71962,71966,,,,,,
o_1_q12,dragonflye,4662711,4662745,2,2,143834,143796,,,,,,
o_1_q12,plassembler,NA,NA,2,2,71966,71966,,,,,,
o_1_q12,hybracter,4662761,4662760,2,2,71966,71966,,,,,,
o_2_q12,unicycler-hy,NA,5356793,2,2,NA,71966,,,,,,
o_2_q12,autocycler-full,5356736,5356711,2,2,71966,71966,,,,,,
o_2_q12,autocycler-wo-canu,5356835,5356806,2,2,71968,71968,,,,,,
o_2_q12,autocycler-wo-necat,5356790,5356760,2,2,71966,71966,,,,,,
o_2_q12,autocycler-wo-metamdbg,5356760,5356735,2,2,71964,71963,,,,,,
o_2_q12,unicycler-lr,5356722,5356757,2,2,71965,71962,,,,,,
o_2_q12,dragonflye,5356599,5356571,3,2,143605,143592,,,,,,
o_2_q12,plassembler,NA,NA,2,2,71965,71965,,,,,,
o_2_q12,hybracter,5356698,5356683,2,2,71961,71961,,,,,,
o_3_q12,unicycler-hy,NA,5312462,2,2,NA,57927,,,,,,
o_3_q12,autocycler-full,5314626,5314601,3,3,57927,57927,,,,,,
o_3_q12,autocycler-wo-canu,5314822,5314627,2,2,57927,57927,,,,,,
o_3_q12,autocycler-wo-necat,5313832,5313849,3,2,57927,57927,,,,,,
o_3_q12,autocycler-wo-metamdbg,5314626,5314612,3,3,57927,57927,,,,,,
o_3_q12,unicycler-lr,5307789,5312580,2,2,57927,57927,,,,,,
o_3_q12,dragonflye,5289972,5290333,incomplete,1,57917,57917,,,,,,
o_3_q12,plassembler,NA,NA,2,2,57927,57927,,,,,,
o_3_q12,hybracter,5314697,5314634,2,2,57927,57927,,,,,,
o_4_q12,unicycler-hy,NA,5144470,1,1,NA,73315,,,,,,
o_4_q12,autocycler-full,5101102,5101105,1,1,73315,73315,,,,,,
o_4_q12,autocycler-wo-canu,5101107,5101109,1,1,73315,73315,,,,,,
o_4_q12,autocycler-wo-necat,5101105,5101108,1,1,73315,73315,,,,,,
o_4_q12,autocycler-wo-metamdbg,5101101,5101105,1,1,73315,73315,,,,,,
o_4_q12,unicycler-lr,5144159,5144460,1,1,73315,73315,,,,,,
o_4_q12,dragonflye,5101849,5101875,1,1,73299,73303,,,,,,
o_4_q12,plassembler,NA,NA,1,1,73315,73315,,,,,,
o_4_q12,hybracter,5101105,5101108,1,1,73315,73315,,,,,,
o_5_q12,unicycler-hy,NA,4789836,2,2,NA,69124,,,,,,
o_5_q12,autocycler-full,4789832,4789826,2,2,69124,69124,,,,,,
o_5_q12,autocycler-wo-canu,4789849,4789837,2,2,69124,69124,,,,,,
o_5_q12,autocycler-wo-necat,4789835,4789827,2,2,69124,69124,,,,,,
o_5_q12,autocycler-wo-metamdbg,4789833,4789825,2,2,69124,69124,,,,,,
o_5_q12,unicycler-lr,4789714,4789831,2,2,69105,69124,,,,,,
o_5_q12,dragonflye,4786984,4786935,2,2,69119,69115,,,,,,
o_5_q12,plassembler,NA,NA,3,2,69124,69124,,,,,,
o_5_q12,hybracter,4789826,4789825,3,3,69124,69124,,,,,,
o_6_q12,unicycler-hy,NA,5000897,1,1,NA,65878,,,,,,
o_6_q12,autocycler-full,5001475,5001474,1,1,65878,65878,,,,,,
o_6_q12,autocycler-wo-canu,5001476,5001474,1,1,65878,65878,,,,,,
o_6_q12,autocycler-wo-necat,5001476,5001477,1,1,65878,65878,,,,,,
o_6_q12,autocycler-wo-metamdbg,5001475,5001477,1,1,65878,65878,,,,,,
o_6_q12,unicycler-lr,5000060,5001220,1,1,65874,65878,,,,,,
o_6_q12,dragonflye,5001157,5001171,1,1,65862,65863,,,,,,
o_6_q12,plassembler,NA,NA,1,1,65878,65878,,,,,,
o_6_q12,hybracter,5001476,5001475,1,1,65878,65878,,,,,,
